TaBLE SQL - streams

Query Results
artist	week	streams_millions	chart_position
Drake	1	288.2	1
Drake	2	160.9	1
Drake	3	140.0	2
Drake	4	131.8	2
Drake	5	123.7	1
Drake	6	126.2	1
Drake	7	122.6	1
Drake	8	117.6	1
The Weeknd	1	76.3	6
The Weeknd	2	72.6	9
The Weeknd	3	69.9	9
The Weeknd	4	71.4	9
The Weeknd	5	66.1	9
The Weeknd	6	67.3	8
The Weeknd	7	63.6	8
The Weeknd	8	60.6	8
Taylor Swift	1	47.7	15
Taylor Swift	2	48.0	18
Taylor Swift	3	54.1	13
Taylor Swift	4	51.0	15
Taylor Swift	5	47.9	16
Taylor Swift	6	48.9	14
Taylor Swift	7	47.8	14
Taylor Swift	8	48.3	15
Doja Cat	1	41.7	17
Doja Cat	2	39.5	23
Doja Cat	3	38.5	23
Doja Cat	4	34.5	25
Doja Cat	5	28.9	42
Doja Cat	6	28.2	43
Doja Cat	7	26.5	49
Doja Cat	8	24.8	57
Luke Combs	1	55.8	9
Luke Combs	2	52.1	14
Luke Combs	3	54.5	12
Luke Combs	4	55.0	12
Luke Combs	5	52.8	13
Luke Combs	6	52.4	12
Luke Combs	7	50.5	12
Luke Combs	8	50.2	11
Bad Bunny	1	33.7	25
Bad Bunny	2	69.6	11
Bad Bunny	3	59.0	11
Bad Bunny	4	49.7	16
Bad Bunny	5	42.3	20
Bad Bunny	6	42.8	19
Bad Bunny	7	41.7	20
Bad Bunny	8	39.3	21
Beyoncé	1	26.3	42
Beyoncé	2	25.9	47
Beyoncé	3	26.6	46
Beyoncé	4	26.5	50
Beyoncé	5	26.3	53
Beyoncé	6	27.9	45
Beyoncé	7	27.3	46
Beyoncé	8	34.3	27
Lady Gaga	1	15.4	106
Lady Gaga	2	15.2	112
Lady Gaga	3	16.6	98
Lady Gaga	4	21.0	75
Lady Gaga	5	64.0	10
Lady Gaga	6	36.0	24
Lady Gaga	7	30.5	36
Lady Gaga	8	27.0	47


SOLUTION 1
weekly_streams_group	artist	week	streams_millions
1	Drake	1	288.2
1	Drake	2	160.9
1	Drake	3	140.0
1	Drake	4	131.8
1	Drake	6	126.2
1	Drake	5	123.7
1	Drake	7	122.6
1	Drake	8	117.6
1	The Weeknd	1	76.3
1	The Weeknd	2	72.6
1	The Weeknd	4	71.4
1	The Weeknd	3	69.9
1	Bad Bunny	2	69.6
2	The Weeknd	6	67.3
2	The Weeknd	5	66.1
2	Lady Gaga	5	64.0
2	The Weeknd	7	63.6
2	The Weeknd	8	60.6
2	Bad Bunny	3	59.0
2	Luke Combs	1	55.8
2	Luke Combs	4	55.0
2	Luke Combs	3	54.5
2	Taylor Swift	3	54.1
2	Luke Combs	5	52.8
2	Luke Combs	6	52.4
2	Luke Combs	2	52.1
3	Taylor Swift	4	51.0
3	Luke Combs	7	50.5
3	Luke Combs	8	50.2
3	Bad Bunny	4	49.7
3	Taylor Swift	6	48.9
3	Taylor Swift	8	48.3
3	Taylor Swift	2	48.0
3	Taylor Swift	5	47.9
3	Taylor Swift	7	47.8
3	Taylor Swift	1	47.7
3	Bad Bunny	6	42.8
3	Bad Bunny	5	42.3
3	Doja Cat	1	41.7
4	Bad Bunny	7	41.7
4	Doja Cat	2	39.5
4	Bad Bunny	8	39.3
4	Doja Cat	3	38.5
4	Lady Gaga	6	36.0
4	Doja Cat	4	34.5
4	Beyoncé	8	34.3
4	Bad Bunny	1	33.7
4	Lady Gaga	7	30.5
4	Doja Cat	5	28.9
4	Doja Cat	6	28.2
4	Beyoncé	6	27.9
4	Beyoncé	7	27.3
5	Lady Gaga	8	27.0
5	Beyoncé	3	26.6
5	Doja Cat	7	26.5
5	Beyoncé	4	26.5
5	Beyoncé	1	26.3
5	Beyoncé	5	26.3
5	Beyoncé	2	25.9
5	Doja Cat	8	24.8
5	Lady Gaga	4	21.0
5	Lady Gaga	3	16.6
5	Lady Gaga	1	15.4
5	Lady Gaga	2	15.2


SOLUTION 2
weekly_streams_group	artist	week	streams_millions
1	Drake	1	288.2
1	Drake	2	160.9
1	Drake	3	140.0
1	Drake	4	131.8
1	Drake	6	126.2
1	Drake	5	123.7
1	Drake	7	122.6
1	Drake	8	117.6
1	The Weeknd	1	76.3
1	The Weeknd	2	72.6
1	The Weeknd	4	71.4
1	The Weeknd	3	69.9
1	Bad Bunny	2	69.6
1	The Weeknd	6	67.3
1	The Weeknd	5	66.1
1	Lady Gaga	5	64.0
2	The Weeknd	7	63.6
2	The Weeknd	8	60.6
2	Bad Bunny	3	59.0
2	Luke Combs	1	55.8
2	Luke Combs	4	55.0
2	Luke Combs	3	54.5
2	Taylor Swift	3	54.1
2	Luke Combs	5	52.8
2	Luke Combs	6	52.4
2	Luke Combs	2	52.1
2	Taylor Swift	4	51.0
2	Luke Combs	7	50.5
2	Luke Combs	8	50.2
2	Bad Bunny	4	49.7
2	Taylor Swift	6	48.9
2	Taylor Swift	8	48.3
3	Taylor Swift	2	48.0
3	Taylor Swift	5	47.9
3	Taylor Swift	7	47.8
3	Taylor Swift	1	47.7
3	Bad Bunny	6	42.8
3	Bad Bunny	5	42.3
3	Doja Cat	1	41.7
3	Bad Bunny	7	41.7
3	Doja Cat	2	39.5
3	Bad Bunny	8	39.3
3	Doja Cat	3	38.5
3	Lady Gaga	6	36.0
3	Doja Cat	4	34.5
3	Beyoncé	8	34.3
3	Bad Bunny	1	33.7
3	Lady Gaga	7	30.5
4	Doja Cat	5	28.9
4	Doja Cat	6	28.2
4	Beyoncé	6	27.9
4	Beyoncé	7	27.3
4	Lady Gaga	8	27.0
4	Beyoncé	3	26.6
4	Doja Cat	7	26.5
4	Beyoncé	4	26.5
4	Beyoncé	1	26.3
4	Beyoncé	5	26.3
4	Beyoncé	2	25.9
4	Doja Cat	8	24.8
4	Lady Gaga	4	21.0
4	Lady Gaga	3	16.6
4	Lady Gaga	1	15.4
4	Lady Gaga	2	15.2


SOLUTION 3
weekly_streams_group	artist	week	streams_millions
1	Drake	8	117.6
1	The Weeknd	8	60.6
1	Taylor Swift	8	48.3
1	Doja Cat	8	24.8
1	Luke Combs	8	50.2
1	Bad Bunny	8	39.3
1	Beyoncé	8	34.3
1	Lady Gaga	8	27.0
1	Drake	7	122.6
1	The Weeknd	7	63.6
1	Taylor Swift	7	47.8
1	Doja Cat	7	26.5
1	Luke Combs	7	50.5
1	Bad Bunny	7	41.7
1	Beyoncé	7	27.3
1	Lady Gaga	7	30.5
2	Drake	6	126.2
2	The Weeknd	6	67.3
2	Taylor Swift	6	48.9
2	Doja Cat	6	28.2
2	Luke Combs	6	52.4
2	Bad Bunny	6	42.8
2	Beyoncé	6	27.9
2	Lady Gaga	6	36.0
2	Drake	5	123.7
2	The Weeknd	5	66.1
2	Taylor Swift	5	47.9
2	Doja Cat	5	28.9
2	Luke Combs	5	52.8
2	Bad Bunny	5	42.3
2	Beyoncé	5	26.3
2	Lady Gaga	5	64.0
3	Drake	4	131.8
3	The Weeknd	4	71.4
3	Taylor Swift	4	51.0
3	Doja Cat	4	34.5
3	Luke Combs	4	55.0
3	Bad Bunny	4	49.7
3	Beyoncé	4	26.5
3	Lady Gaga	4	21.0
3	Drake	3	140.0
3	The Weeknd	3	69.9
3	Taylor Swift	3	54.1
3	Doja Cat	3	38.5
3	Luke Combs	3	54.5
3	Bad Bunny	3	59.0
3	Beyoncé	3	26.6
3	Lady Gaga	3	16.6
4	Drake	2	160.9
4	The Weeknd	2	72.6
4	Taylor Swift	2	48.0
4	Doja Cat	2	39.5
4	Luke Combs	2	52.1
4	Bad Bunny	2	69.6
4	Beyoncé	2	25.9
4	Lady Gaga	2	15.2
4	Drake	1	288.2
4	The Weeknd	1	76.3
4	Taylor Swift	1	47.7
4	Doja Cat	1	41.7
4	Luke Combs	1	55.8
4	Bad Bunny	1	33.7
4	Beyoncé	1	26.3
4	Lady Gaga	1	15.4
